Trait,n_seeds,n_gold,topn_FN,emp_FN,both_caught,only_emp_caught,only_topn_caught,both_missed,both_caught_pct,only_emp_pct,only_topn_pct,both_missed_pct
AD_EO_EXMORE,5,681,560,623,23,35,98,525,3.38,5.14,14.39,77.09
ALLERG_ASTHMA,6,13,8,7,4,2,1,6,30.77,15.38,7.69,46.15
ASTHMA_CHILD_EXMORE,5,70,56,57,7,6,7,50,10.0,8.57,10.0,71.43
AUTOIMMUNE,13,967,799,805,66,96,102,703,6.83,9.93,10.55,72.7
C3_BASAL_CELL_CARCINOMA_EXALLC,12,339,280,318,13,8,46,272,3.83,2.36,13.57,80.24
C3_PROSTATE_EXALLC,8,901,761,840,35,26,105,735,3.88,2.89,11.65,81.58
C3_SKIN_EXALLC,8,725,602,670,23,32,100,570,3.17,4.41,13.79,78.62
CARDIAC_ARRHYTM,9,773,720,739,17,17,36,703,2.2,2.2,4.66,90.94
I9_CHD,11,582,498,494,42,46,42,452,7.22,7.9,7.22,77.66
I9_HYPTENS,25,883,765,785,43,55,75,710,4.87,6.23,8.49,80.41
K11_IBD_STRICT,16,448,326,329,75,44,47,282,16.74,9.82,10.49,62.95
T1D,5,197,179,180,3,14,15,165,1.52,7.11,7.61,83.76
T2D_WIDE,9,868,832,822,13,33,23,799,1.5,3.8,2.65,92.05
